"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:18,3","5:18,3","1,00","5:18","5:22","132","139","1","2","360","4.52","423","5.31","173","256","50,9% L / 49,1% P","1,08","9,1","8,2","72","17,0","4:45","180","5:18,3","5:18","--","--"
"2","5:12,7","10:31","1,00","5:13","5:12","138","143","4","1","374","4.70","421","5.29","176","255","50,5% L / 49,5% P","1,09","9,0","8,1","75","15,0","5:04","179","5:12,7","5:13","--","--"
"3","5:17,2","15:48","1,00","5:17","5:14","140","143","3","0","371","4.66","408","5.12","175","256","50,7% L / 49,3% P","1,08","9,1","8,2","76","14,0","5:07","178","5:17","5:17","--","--"
"4","5:18,5","21:07","1,00","5:18","5:15","140","146","7","1","374","4.70","451","5.66","175","254","50,6% L / 49,4% P","1,08","9,1","8,3","76","13,0","5:11","178","5:18,5","5:19","--","--"
"5","5:15,1","26:22","1,00","5:15","5:12","141","145","3","1","366","4.60","417","5.24","176","251","50,8% L / 49,2% P","1,08","9,0","8,1","75","13,0","5:04","182","5:15","5:15","--","--"
"6","5:12,1","31:34","1,00","5:12","5:16","139","143","2","6","356","4.47","393","4.93","175","251","50,7% L / 49,3% P","1,10","9,2","8,2","72","13,0","4:58","178","5:12","5:12","--","--"
"7","5:16,1","36:50","1,00","5:16","5:22","141","146","1","5","352","4.42","410","5.15","174","257","50,5% L / 49,5% P","1,09","9,2","8,3","74","12,0","4:55","178","5:16","5:16","--","--"
"8","5:15,1","42:05","1,00","5:15","5:18","142","146","1","8","357","4.48","396","4.97","174","259","50,3% L / 49,7% P","1,10","9,4","8,3","73","12,0","5:04","176","5:15","5:15","--","--"
"9","5:16,3","47:22","1,00","5:16","5:17","144","150","1","4","361","4.53","396","4.97","173","260","50,1% L / 49,9% P","1,10","9,3","8,3","73","12,0","4:59","176","5:16","5:16","--","--"
"10","5:24,2","52:46","1,00","5:24","5:22","144","149","4","1","365","4.58","406","5.10","173","263","50,0% L / 50,0% P","1,07","9,2","8,4","75","11,0","4:55","176","5:24,2","5:24","--","--"
"11","5:23,3","58:09","1,00","5:23","5:20","144","149","4","0","373","4.68","438","5.50","173","265","50,0% L / 50,0% P","1,07","9,2","8,4","74","12,0","4:48","176","5:23","5:23","--","--"
"12","5:24,3","1:03:33","1,00","5:24","5:25","145","149","3","0","367","4.61","413","5.19","174","264","50,3% L / 49,7% P","1,05","9,1","8,4","75","12,0","4:59","178","5:24","5:24","--","--"
"13","5:21,8","1:08:55","1,00","5:22","5:23","145","148","1","4","352","4.42","375","4.71","173","264","50,4% L / 49,6% P","1,08","9,2","8,3","74","12,0","5:03","176","5:21,8","5:22","--","--"
"14","5:19,7","1:14:15","1,00","5:20","5:21","143","149","1","5","354","4.45","387","4.86","173","267","50,1% L / 49,9% P","1,09","9,2","8,2","71","11,0","5:10","177","5:19,7","5:20","--","--"
"15","5:23,0","1:19:38","1,00","5:23","5:25","144","147","1","4","353","4.43","376","4.72","173","267","50,1% L / 49,9% P","1,08","9,2","8,3","71","11,0","5:14","176","5:23","5:23","--","--"
"16","0:01,8","1:19:40","0,01","4:09","5:34","144","144","0","0","367","4.61","372","4.67","165","279","50,3% L / 49,8% P","1,09","11,2","9,0","0","10,0","5:31","166","0:01","2:17","--","--"
"Podsumowanie","1:19:40","1:19:40","15,01","5:18","5:19","142","150","39","43","362","4.55","451","5.66","174","259","50,4% L / 49,6% P","1,08","9,2","8,3","1.106","12,7","4:45","182","1:19:37","5:18","--","--"